data_zone,intermediate_zone,council_area,total_population,working_age_population,income_dep_pct,income_dep,employ_dep_pct,employ_dep,cif,alcohol,drug,smr,depress_pct,lbwt_pct,emerg,attendance_pct,attainment_score,no_qual_ratio_std,not_participating_pct,university_pct,petrol_ave_drive_mins,gp_ave_drive_mins,drive_post,prim_sch_ave_drive_mins,drive_retail,sec_sch_ave_drive_mins,gp_ave_pub_trans_mins,pt_post,shopping_ave_pub_trans_mins,bband_pct,crime_count,crime_pct,overcrowd,nocentralheat,overcrowded_pct,nocentralheat_pct
S01010455,Knightswood Park West,Glasgow City,886,593,0.41,361,0.36,208,290,404.695646,378.3354424,167.4956056,35.487661599999996,7.547169800000001,163.2106328,74.051,5.3076923077,200.82569370000002,1.5625,1.7391,3.169893843,3.155644904,2.939485138,2.693839779,3.939357749,5.384695122,8.284604565,10.70856953,9.732085987,0,53.25107414343947,60102.79248695199,152,57,16.1358811,6.0509554
S01010456,Knightswood Park West,Glasgow City,538,329,0.17,93,0.1,33,160,143.8686508,314.2408275,132.3272752,26.3257576,0,149.449021,89.524,5.875,121.65690479999999,2.8571429,7.2464,3.783783186,2.512858407,2.654287611,2.398644068,4.794853982,4.532636364,8.124026549,8.567681416,12.73033186,0,8.037897983915391,14940.330825121544,105,12,18.5840708,2.1238938
S01010457,Knightswood Park West,Glasgow City,547,374,0.12,66,0.11,42,140,105.7403126,73.50999432,130.0155268,18.9849624,0,88.92980194,NA,5.8333333333,150.7484553,2,4.3478,3.051140966,2.204567757,2.320911215,1.985853659,4.13875,3.799278351,6.544855919,6.784267913,12.1018419,0,47.222650655502925,86330.2571398591,145,18,22.585669799999998,2.8037383
S01010458,Knightswood Park West,Glasgow City,757,484,0.26,196,0.2,97,175,260.016208,117.0721637,87.68916978,25.9165613,22.7272727,120.3162457,75.556,5.125,158.3156662,8.3333333,4.7619,4.561387808,1.947344358,2.42459144,2.542411765,3.136248379,4.852531646,5.840538262,5.455298314,10.9770428,0,25.118431199735596,33181.547159492206,145,14,18.8067445,1.8158236
S01010459,Knightswood Park West,Glasgow City,553,373,0.2,111,0.12,45,175,100.4110481,55.26116108,95.0360278,27.3873874,12.5,87.12685876,75.51,5,135.4638112,5.7142857,6.25,4.125969388,1.896887755,1.771808905,2.252616279,3.333784787,4.810983607,6.335742115,5.1882282,10.71779221,0,4.0189489919576955,7267.538864299631,85,10,15.769944299999999,1.8552876
S01010460,Knightswood Park East,Glasgow City,811,545,0.06,52,0.03,17,60,19.54267093,0,63.37307216,12.345679,0,61.17842805,NA,5.8823529412,77.93384682,1.7241379000000001,10.2273,2.619804318,2.207412281,2.578272605,2.097696629,3.6542139,2.551162791,8.782665317,7.414392713,10.82686572,0,7.033160735925967,8672.208059094903,35,6,4.7233468,0.8097165999999999
S01010461,Knightswood Park East,Glasgow City,639,367,0.27,171,0.24,89,185,195.5907314,330.7232411,115.7277497,24.9612403,2.0833333,128.6123872,77.536,4.9090909091,153.0686531,6.4102564,5.7692,2.577165301,1.921485656,2.158500683,2.070357143,4.055782104,3.305495495,6.799778005,7.588428962,13.18642418,0,36.17054092761926,56604.91537968585,155,6,21.1748634,0.8196721
S01010462,Knightswood Park East,Glasgow City,971,704,0.42,412,0.28,195,210,382.5270266,410.0424263,74.89402446,17.3959445,7.5,151.72132,69.048,4.8636363636,248.87310009999996,9.941520500000001,7.2874,3.235364294,2.5606757510000002,2.694677419,2.152734848,3.696902113,4.026319188,6.83621802,6.555920467,11.64965517,0,51.24159964746062,52771.987278538225,347,36,38.5984427,4.0044494
S01010463,Knightswood Park East,Glasgow City,798,517,0.13,102,0.09,46,130,78.37030093,58.02126513,91.97402312,19.4162437,0,108.7915544,85.965,5.6666666667,101.8701324,0.952381,15.887899999999998,3.397154523,2.691011307,2.566542085,1.71969697,3.147355528,3.48214876,7.706152638,5.948734296,10.00581658,0,12.056846975873086,15108.830796833441,160,9,20.1005025,1.1306533
S01010464,Knightswood Park East,Glasgow City,494,339,0.16,79,0.09,31,145,169.3153576,55.77230445,80.2079183,21.9367589,0,103.8412399,90.566,4.6666666667,124.24415659999998,3.3898304999999995,7.3171,2.915038168,2.330362595,2.598387405,1.540769231,3.532729008,3.369215686,9.64605916,8.535419847,12.08591603,0,11.052109727883662,22372.69175684952,75,9,14.3129771,1.7175573
S01010465,Anniesland East,Glasgow City,957,691,0.04,37,0.03,23,65,65.33445454,26.93992395,55.33809316,14.7679325,2.2222222,84.73683216,87.831,6.25,54.16099458,1.1235955,11.5789,3.743057022,4.362597677,2.57844509,3.513624339,4.881338437,4.331528926,13.6364018,9.240509504,11.81906019,1.9108279999999997,9.042635231904814,9448.939636264173,106,16,11.193241800000001,1.6895459000000002
S01010466,Anniesland East,Glasgow City,846,666,0.04,34,0.04,26,55,30.64089161,41.37756249,89.21093341,14.6713615,11.5384615,73.65569954,NA,6.25,46.00705349,0,13.5135,1.281552901,3.020833333,3.1067719,4.318267717,2.814223549,5.743478261,7.687309443,7.804186576,8.436609784,0,11.052109727883662,13063.959489224186,94,29,10.6939704,3.2992036000000002
S01010467,Anniesland East,Glasgow City,899,510,0.06,56,0.05,24,80,98.22141504,35.44872525,125.1176037,24.657534300000002,9.0909091,88.15311061,NA,5.5882352941,56.51067935999999,0,12.162199999999999,1.680645527,4.335325595,2.331024915,2.572534884,3.502075311,5.359964789,8.05806342,5.970838052,9.072208381,0,9.042635231904814,10058.54864505541,93,17,11.1111111,2.0310633
S01010468,Anniesland East,Glasgow City,955,658,0.06,59,0.04,24,65,61.4705097,27.90935375,58.42749333,12.734864300000002,10.3448276,63.60209262,87.654,5.24,64.48467148,2.3255814,11.931799999999999,2.424280822,4.253403583,2.24743941,3.106303502,3.408769758,5.64906015,9.146635933,6.438722339,9.81483667,0,15.071058719841359,15781.213319205612,75,11,7.9030558,1.1591149
S01010469,Anniesland East,Glasgow City,585,477,0.2,117,0.15,72,155,307.6822124,71.44994482,150.79434,19.7635135,5.5555556,104.1250027,NA,NA,80.34652375,13.3333333,3.2258,1.078470483,2.267504472,1.813211091,3.6052439019999998,1.856440072,4.196590909,4.436627907,4.061896243,4.234731664,0,35.16580367962984,60112.48492244417,188,58,33.6314848,10.3756708
S01010470,Anniesland West,Glasgow City,763,474,0.17,131,0.13,61,160,147.8831655,65.37358916,180.7886102,30.7291667,0,138.1578375,84.553,4.4166666667,113.38987309999999,7.042253499999999,4.8193,2.077231801,1.488451469,1.340957854,2.075343511,4.31403576,3.278674699,4.611194125,4.811507024,11.17793103,0,17.080533215820207,22386.019942097257,105,6,14.6239554,0.8356545999999999
