data_zone,intermediate_zone,count
S02000556,Glenrothes Cadham and Pitcoudie,5
S02000548,Glenrothes Caskieberran and Rimbleton,0
S02000560,Glenrothes Collydean,0
S02000553,Glenrothes Macedonia and Tanshall,5
S02000544,Glenrothes Pitteuchar,5
S02000554,Glenrothes South Parks,20
S02000542,Glenrothes Stenton and Finglassie,10
S02000545,Glenrothes Woodside,10
S02000588,Glenwood North,5
S02000585,Glenwood South,0
S02000628,Gorbals and Hutchesontown,10
S02000793,Gorebridge and Middleton,5
S02000377,Gorgie East,5
S02000373,Gorgie West,15
S02000785,"Gourock Central, Upper East and IRH",15
S02000787,"Gourock East, Greenock West and Lyle Road",0
S02000786,Gourock Upper and West Central & Upper Larkfield,5
S02000656,Govan and Linthouse,25
S02000615,Govanhill East and Aikenhead,10
S02000616,Govanhill West,20
S02000333,"Gracemount, Southouse and Burdiehouse",5
S02000460,Grahamston,25
S02000361,Grange,20
S02000245,"Grange, Howard and Gargieston",5
S02000468,Grangemouth Town Centre,15
S02000420,Great Junction Street,30
S02000142,Greater Lochgilphead,10
S02000354,Greendykes and Niddrie Mains,15
S02000904,Greenend and Carnbroe,0
S02000929,Greenfaulds,10
S02000640,Greenfield,5
S02001109,Greenhills,5
S02000778,Greenock East,5
S02000781,Greenock Town Centre and East Central,55
S02000780,Greenock Upper Central,5
S02000784,Greenock West and Central,25
S02001206,Greenrigg,5
S02000176,Gretna and Eastriggs,25
S02000972,"Guildtown, Balbeggie and St Madoes",10
S02001120,Hairmyres and Westwood West,10
S02001156,"Halfway, Hallside and Drumsagard",15
S02000446,Hallglen and Glen Village,0
S02001139,Hamilton Centre and Low Parks,60
S02000022,Hanover,35
S02001101,Hareleeshill,0
S02000280,Harestanes,0
S02000433,Harris,15
S02000906,Harthill and Salsburgh,5
S02000897,Hattonrigg,0
S02001023,Hawick Central,25
S02001024,Hawick North,0
S02001022,Hawick West End,15
S02001087,Hazelbank and Kirkfieldbank,5
S02000014,Hazlehead,10
S02000461,Head of Muir and Dennyloanhead,5
S02001072,Heathfield,5
S02000034,Heathryfold and Middlefield,0
S02000816,"Heldon West, Fogwatt to Inchberry",5
S02000139,Helensburgh Centre,35
S02000138,Helensburgh East,0
S02000140,Helensburgh North,0
S02000141,Helensburgh West and Rhu,5
S02000414,Hermitage Park and Prospect Bank,10
S02001140,High Blantyre,15
S02000448,High Bonnybridge and Greenhill,5
S02001154,High Crosshill,5
S02001183,Highland,75
S02000514,Hill of Beath,0
S02000277,Hillhead,10
S02000664,Hillhead,60
S02001134,Hillhouse,0
S02000639,Hillington,5
S02000128,Hillside,5
S02000402,Hillside and Calton Hill,40
S02000211,Hilltown,25
S02000969,"Hillyland, Tulloch and Inveralmond",10
S02000033,Hilton,5
